1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
70,6,32850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,7,32850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,8,32850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,9,32850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,111111,111111,111111,111111,111111,111111,111111,111111,111111,111111,111111,111111,111111,111111,111111,111111,111111,111111,111111,111111
86,1,0,0,2.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,2,0.246575342,90,2.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,3,1,365,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,4,5,1825,8.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,5,10,3650,15.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,6,15,5475,17.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,7,25,9125,19.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,8,50,18250,19.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,9,70,25550,19.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,10,90,32850,19.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,11,999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,12,999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,13,999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,14,999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,15,999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,16,999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,17,999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,18,999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,19,999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,20,999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,21,999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,22,999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,23,999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,24,999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,25,999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,26,999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,27,999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,28,999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,29,999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,30,999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,31,999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,32,999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,33,999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,34,999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,35,999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,36,999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,37,999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,38,999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,39,999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,40,999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,41,999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,42,999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,43,999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,44,999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,45,999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,46,999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,47,999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,48,999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,49,999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,50,999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,51,999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,111111,111111,111111,111111,111111,111111,111111,111111,111111,111111,111111,111111,111111,111111,111111,111111,111111,111111,111111,111111
